696,slv refreshment
698,chatar patar
701,kidambis kitchen
703,tandoori knight
704,utsav
705,mane thindi
708,juicy momos
709,donne biriyani house
760,matru sagar
761,kavali
763,bunts biriyani palace
766,ranganna military 
767,roti ghar
768,grand village
769,vidyarthi bhavan
770,bharjari oota
771,gokul veg
772,slv corner restaurant
773,timepass dinner
774,baisakhi
775,eat repeat
776,sri guru kottureshwara davangere benne dosa
778,srinathjis cafe
779,soho bar  grill
780,kollapuris
782,bhavani restaurant
783,puliyogare point
784,zephyr
785,redberrys
786, dwarka
788,maarya family restaurant
789,ab  adyar ananda bhavan
790,ragoos
791,imperial restaurant
793,udupi sri krishna bhavan
797,curry leaves
798,goli vada pav no 
799,ice thunder
800,south kitchen
801,upahara darshini
802,mahalaxmi tiffin room
804,sandwichwallas
806,udupi grand
808,castle rock
811,kamat bugle rock
812,basavanagudi mylari
813,rs shiv sagar
817,pramukh family restaurant
818,chaatimes
819,vybhava
820,shree venkateshwara north karnataka 
827,harshi super sandwich
830,belly squad food truck
855,jcubez
856,gustoes beer house
858,vi ras bar and restaurant
861,darbar
862,soho bar  grill
863,deja vu resto bar
864,fattoush
865,empire restaurant
866,abhiruchi 
868,barbeque nation
869,sattvam
870,th main
871,zaitoon
873,oye amritsar
874,melt  eden park
876,spice code
877,the onyx  the hhi select bengaluru
879,sankranthi veg restaurant
881,cafe kabana
882,butterly
884,black mug cafe
885,refuel
886,wafl
887,vaho kafe  pressery
888,dreamcatcher
890,cafe arabica
893,kalmane koffees
895,brews n bites
902,slate cafe
903,dialogues
905,mudpipe cafe
907,tab  take a break
908,biggies burger n more
909,onesta
910,cafe potpourri
912,vinaya coffee moments
915,cuppa
919,skytouch le cafe
920,woodee pizza
923,sai abhiruchi
924,capsicum family restaurant
927,easy bites
928,hiyar majhe kolkata
932,sri lakshmi dhaba
933,xo belgian waffle
934,swadista aahar
936,albek
937,anirams
938,punjabi nawabi
940,swad punjab da
941,box desi meals
942,roti wala
943,midnight mania
944,kitchensjp nagar
945,krishna kuteera
946,apna punjab
947,paratha junction
948,nellore bhojanam
949,momoz
950,kalingas
951,kanteen the eatery
952,kullad cafe
953,donne biriyani house
954,litti twist
955,freshmenu
956,shanthi sagar
957,cakebuy
958,five star chicken
961,corner house ice cream
965,fattoush
967,behrouz biryani
968,abhiruchi 
971,hind ka chulah
974,bohra bohra caf
975,pizza hut
984,subway
986,biryani durbar
989,mahesh friends food center
991,kabab magic
993,burger king
994,dadis dum biryani
996,alankrutha
997,paradise
1000,andhra ruchulu
1008,adithya
1009,cheesiano pizza
1011,le arabia
1013,kfc
1014,dandes hyderabad biryani
1015,onesta
1016,upahara bhavan
1018,shuddh desi khana
1022,sankranthi veg restaurant
1023,aramane donne biriyani
1024,cafe potpourri
1025,manis dum biryani
1026,amontron
1028,birinz
1029,just shawarma
1030,hyderabadi bawarchi
1031,fish chain
1032,prasiddhi food corner
1034,hyderabad biryaani house
1035,galitos
1040,rajdhani thali restaurant
1041,phew play hard eat wild
1045,chicken county grand
1046,roll over
1049,savoury  sea shell restaurant
1051,firangi bake
1052,zaitoon
1053,kundana
1055,the shawarma shop
1058,faasos
1059,punjabi food corner
1060,mealerin
1061,pathaan sir
1062,cold stone creamery
1064,amritsari kulcha land
1065,chokha chowka
1066,gorbandh
1067,grills  rolls
1068,bathinda junction
1069,stories
1072,kanti sweets
1076,seasons
1078,chung wah
1081,marwa restaurant
1083,shanghai court
1086,bhojohori manna
1088,hunger bee
1089,yum in my tum
1093,biryani miya
1096,chulha chauki da dhaba
1099,dreamcatcher
1100,magixs parattha roll
1101,elegant dining
1104,waffle head
1107,basmati delights
1109,samosa singh
1110,cravings
1113,matka
1114,punjabi swag
1115,taco bell
1118,mothers rasoi
1119,dosa bazaar
1121,the bong palate
1124,upahara darshini
1127,bikaner jn
1128,crunch pizzas
1131,kakalkai ruchi
1133,calorie express
1135,bangalore box
1139,ovenstory pizza
1140,slate cafe
1143,chavadi
1144,nanna munna paratha house
1145,cucumber town
1148,oye amritsar
1151,brewsky
1152,chefeana
1153,bangaliana
1154,gud dhani
1156,mcdonalds
1158,wafl
1159,deejas kitchen
1160,pancuzzi
1162,zhangs  chinese restaurant
1163,shagun sweets  foods
1165,devs gugababa
1166,oogway express
1167,dominos pizza
1168,pizza stop
1171,the egg factory
1172,chow san
1177,momo jojo
1179,simply indian
1181,rithikas kitchen
1182,punjabi times
1185,chai point
1187,cravy wings
1188,funky punjab
1190,punjabi corner
1192,refuel
1193,biggies burger n more
1194,zeeshan
1195,ambara gardenia
1201,more pizza
1203,butterly
1204,crafted plate
1205,shettys kitchen
1206,machali port
1210,garma garam
1213,the coastal crew by fujian on th
1214,bib  breakfast in the box
1222,tandoor and spice
1224,rock stone ice cream factory
1225,paratha plaza
1230,namma kudla
1232,wangs kitchen
1240,spice up
1245,tempteys
1249,crumb together
1250,the foodyz
1253,black mug cafe
1258,meat and eat
