,stop_words
600,mustnt
601,mustn't
602,my
603,myself
604,na
605,naa
606,naah
607,nahi
608,nahin
609,nai
610,name
611,namely
612,nd
613,ne
614,near
615,nearly
616,necessary
617,neeche
618,need
619,needn
620,neednt
621,needn't
622,needs
623,neither
624,never
625,nevertheless
626,new
627,next
628,nhi
629,nine
630,no
631,nobody
632,non
633,none
634,noone
635,nope
636,nor
637,normally
638,not
639,nothing
640,novel
641,now
642,nowhere
643,o
644,obviously
645,of
646,off
647,often
648,oh
649,ok
650,okay
651,old
652,on
653,once
654,one
655,ones
656,only
657,onto
658,or
659,other
660,others
661,otherwise
662,ought
663,our
664,ours
665,ourselves
666,out
667,outside
668,over
669,overall
670,own
671,par
672,pata
673,pe
674,pehla
675,pehle
676,pehli
677,people
678,per
679,perhaps
680,phla
681,phle
682,phli
683,placed
684,please
685,plus
686,poora
687,poori
688,provides
689,pura
690,puri
691,q
692,que
693,quite
694,raha
695,rahaa
696,rahe
697,rahi
698,rakh
699,rakha
700,rakhe
701,rakhen
702,rakhi
703,rakho
704,rather
705,re
706,really
707,reasonably
708,regarding
709,regardless
710,regards
711,rehte
712,rha
713,rhaa
714,rhe
715,rhi
716,ri
717,right
718,s
719,sa
720,saara
721,saare
722,saath
723,sab
724,sabhi
725,sabse
726,sahi
727,said
728,sakta
729,saktaa
730,sakte
731,sakti
732,same
733,sang
734,sara
735,sath
736,saw
737,say
738,saying
739,says
740,se
741,second
742,secondly
743,see
744,seeing
745,seem
746,seemed
747,seeming
748,seems
749,seen
750,self
751,selves
752,sensible
753,sent
754,serious
755,seriously
756,seven
757,several
758,shall
759,shan
760,shant
761,shan't
762,she
763,she's
764,should
765,shouldn
766,shouldnt
767,shouldn't
768,should've
769,si
770,since
771,six
772,so
773,soch
774,some
775,somebody
776,somehow
777,someone
778,something
779,sometime
780,sometimes
781,somewhat
782,somewhere
783,soon
784,still
785,sub
786,such
787,sup
788,sure
789,t
790,tab
791,tabh
792,tak
793,take
794,taken
795,tarah
796,teen
797,teeno
798,teesra
799,teesre
800,teesri
801,tell
802,tends
803,tera
804,tere
805,teri
806,th
807,tha
808,than
809,thank
810,thanks
811,thanx
812,that
813,that'll
814,thats
815,that's
816,the
817,theek
818,their
819,theirs
820,them
821,themselves
822,then
823,thence
824,there
825,thereafter
826,thereby
827,therefore
